Side,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Defense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense,Offense
Category,1st_Down,3rd_Down,Overall,Pass,Pass_BehindLoS,Pass_Deep,Pass_Intermediate,Pass_Short,Play_Action,Quick_Game_Proxy,RPO,Redzone,Run,Scramble,Target_RB,Target_TE,Target_WR,1st_Down,3rd_Down,Overall,Pass,Pass_BehindLoS,Pass_Deep,Pass_Intermediate,Pass_Short,Play_Action,Quick_Game_Proxy,RPO,Redzone,Run,Scramble,Target_RB,Target_TE,Target_WR
Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARI,21.875,81.25,31.25,37.5,6.25,20.0,59.375,34.375,62.5,28.125,,53.125,31.25,,62.5,12.5,50.0,21.875,62.5,40.625,40.625,68.75,20.689655172413794,75.0,71.875,25.0,87.5,,65.625,31.25,,62.5,75.0,68.75
ATL,62.5,65.625,68.75,71.875,50.0,70.0,50.0,50.0,65.625,37.5,53.57142857142858,90.625,43.75,,28.125,68.75,56.25,71.875,18.75,46.875,50.0,50.0,10.344827586206897,43.75,75.0,75.0,53.125,57.89473684210527,75.0,59.375,,90.625,31.25,40.625
BAL,18.75,28.125,43.75,34.375,31.25,13.333333333333334,65.625,75.0,18.75,46.875,82.14285714285715,93.75,87.5,,21.875,46.875,28.125,93.75,75.0,81.25,75.0,34.375,93.10344827586206,65.625,62.5,93.75,28.125,21.05263157894737,25.0,96.875,,31.25,53.125,93.75
BUF,71.875,15.625,62.5,84.375,96.875,53.333333333333336,96.875,62.5,50.0,90.625,32.142857142857146,31.25,9.375,,68.75,96.875,78.125,65.625,93.75,100.0,87.5,96.875,48.275862068965516,84.375,96.875,96.875,100.0,84.21052631578948,96.875,100.0,37.5,100.0,96.875,65.625
CAR,37.5,6.25,25.0,40.625,71.875,83.33333333333334,28.125,12.5,87.5,18.75,89.28571428571429,21.875,21.875,,40.625,3.125,59.375,28.125,21.875,21.875,21.875,25.0,100.0,6.25,9.375,28.125,9.375,73.6842105263158,40.625,37.5,,6.25,12.5,31.25
CHI,43.75,75.0,50.0,53.125,56.25,56.66666666666667,93.75,31.25,53.125,21.875,64.28571428571429,37.5,37.5,,34.375,84.375,43.75,100.0,78.125,71.875,62.5,53.125,34.48275862068965,3.125,93.75,53.125,68.75,68.42105263157896,53.125,84.375,75.0,56.25,84.375,37.5
CIN,9.375,46.875,12.5,12.5,3.125,30.0,40.625,21.875,21.875,3.125,3.5714285714285716,34.375,12.5,,6.25,28.125,37.5,37.5,81.25,53.125,43.75,3.125,24.137931034482758,81.25,56.25,31.25,21.875,52.631578947368425,81.25,93.75,,21.875,28.125,62.5
CLE,93.75,71.875,87.5,87.5,78.125,93.33333333333334,34.375,93.75,78.125,87.5,14.285714285714286,78.125,50.0,,84.375,81.25,96.875,3.125,15.625,3.125,3.125,15.625,3.4482758620689653,15.625,3.125,6.25,6.25,,34.375,9.375,,9.375,3.125,3.125
DAL,6.25,3.125,3.125,3.125,15.625,6.666666666666667,15.625,9.375,6.25,12.5,17.857142857142858,6.25,6.25,,15.625,18.75,3.125,59.375,71.875,87.5,84.375,62.5,89.6551724137931,96.875,65.625,78.125,31.25,36.8421052631579,43.75,53.125,,3.125,34.375,90.625
DEN,87.5,59.375,81.25,78.125,59.375,90.0,53.125,53.125,96.875,56.25,60.714285714285715,56.25,68.75,,78.125,43.75,75.0,78.125,40.625,62.5,71.875,43.75,72.41379310344827,21.875,46.875,34.375,43.75,15.789473684210527,87.5,50.0,,46.875,9.375,75.0
DET,65.625,90.625,65.625,68.75,81.25,36.66666666666667,81.25,87.5,68.75,68.75,85.71428571428572,65.625,34.375,,65.625,93.75,53.125,84.375,50.0,78.125,81.25,93.75,,90.625,100.0,68.75,93.75,,90.625,28.125,,93.75,78.125,87.5
GB,56.25,56.25,40.625,21.875,18.75,26.666666666666668,9.375,56.25,28.125,43.75,35.714285714285715,43.75,78.125,,37.5,62.5,12.5,81.25,96.875,93.75,100.0,81.25,82.75862068965517,100.0,90.625,100.0,96.875,100.0,84.375,40.625,,84.375,100.0,96.875
HOU,100.0,87.5,100.0,100.0,87.5,50.0,75.0,100.0,84.375,100.0,46.42857142857143,75.0,96.875,,96.875,87.5,87.5,12.5,43.75,25.0,31.25,12.5,44.82758620689655,40.625,25.0,46.875,15.625,,9.375,18.75,,28.125,56.25,25.0
IND,34.375,43.75,37.5,25.0,100.0,33.333333333333336,21.875,25.0,15.625,84.375,100.0,71.875,56.25,,87.5,34.375,15.625,56.25,90.625,75.0,78.125,75.0,41.37931034482759,68.75,34.375,37.5,56.25,26.315789473684212,68.75,87.5,,68.75,37.5,71.875
JAX,25.0,50.0,59.375,56.25,43.75,80.0,71.875,78.125,46.875,75.0,25.0,12.5,46.875,,53.125,50.0,90.625,50.0,87.5,68.75,65.625,56.25,68.9655172413793,31.25,59.375,81.25,59.375,,59.375,68.75,,87.5,71.875,28.125
KC,40.625,18.75,53.125,43.75,28.125,46.66666666666667,43.75,46.875,9.375,31.25,50.0,50.0,75.0,,18.75,21.875,65.625,87.5,25.0,50.0,46.875,84.375,17.241379310344826,59.375,50.0,43.75,71.875,31.578947368421055,50.0,81.25,50.0,40.625,50.0,50.0
LA,75.0,78.125,78.125,75.0,34.375,100.0,46.875,65.625,31.25,53.125,92.85714285714286,25.0,81.25,,31.25,90.625,81.25,96.875,53.125,96.875,93.75,59.375,65.51724137931033,87.5,81.25,90.625,90.625,,78.125,90.625,,78.125,40.625,84.375
LAC,59.375,84.375,84.375,81.25,37.5,86.66666666666667,90.625,68.75,71.875,71.875,28.571428571428573,96.875,71.875,,75.0,31.25,93.75,18.75,31.25,31.25,28.125,21.875,55.172413793103445,37.5,43.75,59.375,34.375,,12.5,46.875,12.5,53.125,21.875,56.25
LV,81.25,34.375,46.875,46.875,75.0,76.66666666666667,12.5,18.75,40.625,59.375,,59.375,53.125,,59.375,37.5,31.25,9.375,3.125,6.25,6.25,28.125,6.896551724137931,25.0,15.625,15.625,12.5,,6.25,3.125,,18.75,18.75,9.375
MIA,15.625,68.75,28.125,31.25,9.375,,6.25,28.125,37.5,9.375,75.0,15.625,40.625,,9.375,65.625,18.75,34.375,37.5,34.375,53.125,71.875,,56.25,84.375,56.25,65.625,,28.125,21.875,,37.5,90.625,46.875
MIN,96.875,96.875,90.625,93.75,93.75,,87.5,90.625,90.625,96.875,,87.5,93.75,,100.0,75.0,68.75,25.0,9.375,18.75,12.5,6.25,51.72413793103448,34.375,28.125,12.5,18.75,,21.875,25.0,,12.5,68.75,18.75
NE,68.75,62.5,75.0,65.625,84.375,73.33333333333334,68.75,59.375,100.0,81.25,57.142857142857146,18.75,84.375,,93.75,40.625,71.875,90.625,59.375,84.375,90.625,100.0,86.20689655172413,71.875,87.5,71.875,78.125,,31.25,43.75,87.5,81.25,81.25,100.0
NO,78.125,53.125,71.875,62.5,40.625,43.333333333333336,56.25,43.75,59.375,40.625,42.85714285714286,81.25,62.5,,43.75,59.375,34.375,6.25,28.125,15.625,18.75,9.375,31.034482758620687,78.125,6.25,3.125,3.125,5.2631578947368425,18.75,6.25,,25.0,59.375,15.625
NYG,31.25,31.25,21.875,59.375,53.125,16.666666666666668,37.5,81.25,25.0,62.5,7.142857142857143,46.875,3.125,,81.25,78.125,46.875,53.125,68.75,28.125,25.0,65.625,62.068965517241374,53.125,12.5,18.75,40.625,47.36842105263158,3.125,34.375,,59.375,87.5,12.5
NYJ,12.5,21.875,9.375,6.25,21.875,66.66666666666667,25.0,3.125,3.125,6.25,67.85714285714286,3.125,25.0,,3.125,25.0,9.375,43.75,12.5,9.375,9.375,18.75,,9.375,21.875,40.625,25.0,10.526315789473685,15.625,15.625,,65.625,6.25,6.25
PHI,90.625,93.75,93.75,96.875,90.625,96.66666666666667,84.375,96.875,75.0,93.75,96.42857142857143,84.375,90.625,100.0,50.0,100.0,100.0,40.625,34.375,37.5,34.375,46.875,58.62068965517241,18.75,31.25,50.0,46.875,42.10526315789474,71.875,56.25,25.0,15.625,65.625,43.75
PIT,84.375,37.5,56.25,50.0,68.75,3.3333333333333335,31.25,71.875,93.75,65.625,78.57142857142857,62.5,59.375,,71.875,56.25,40.625,46.875,65.625,43.75,37.5,87.5,13.793103448275861,62.5,37.5,9.375,81.25,78.94736842105263,62.5,75.0,,75.0,46.875,34.375
SEA,53.125,100.0,96.875,90.625,46.875,63.333333333333336,100.0,84.375,81.25,78.125,71.42857142857143,100.0,100.0,,90.625,53.125,84.375,75.0,56.25,59.375,68.75,37.5,96.55172413793103,50.0,53.125,84.375,75.0,,37.5,62.5,,71.875,25.0,81.25
SF,50.0,40.625,18.75,28.125,25.0,23.333333333333336,78.125,37.5,56.25,34.375,39.285714285714285,68.75,28.125,,56.25,71.875,25.0,62.5,100.0,90.625,96.875,78.125,75.86206896551724,93.75,78.125,62.5,84.375,,100.0,65.625,,96.875,93.75,78.125
TB,46.875,25.0,34.375,18.75,12.5,60.0,18.75,40.625,12.5,50.0,10.714285714285715,40.625,65.625,,12.5,15.625,62.5,68.75,84.375,56.25,59.375,90.625,37.93103448275862,28.125,40.625,87.5,62.5,94.73684210526316,93.75,71.875,100.0,43.75,15.625,59.375
TEN,3.125,12.5,6.25,9.375,65.625,10.0,3.125,15.625,34.375,25.0,,9.375,15.625,,46.875,6.25,6.25,15.625,6.25,12.5,15.625,31.25,79.3103448275862,12.5,18.75,21.875,37.5,63.15789473684211,56.25,12.5,,34.375,43.75,21.875
WAS,28.125,9.375,15.625,15.625,62.5,40.0,62.5,6.25,43.75,15.625,21.42857142857143,28.125,18.75,,25.0,9.375,21.875,31.25,46.875,65.625,56.25,40.625,27.586206896551722,46.875,68.75,65.625,50.0,89.47368421052633,46.875,78.125,62.5,50.0,62.5,53.125
